Study_Hours,Attendance,Assignment_Score,Marks,Result
4.4,74.0,43.1,46.7,Average
11.7,79.6,90.1,98.0,Excellent
11.5,91.2,87.3,100.0,Excellent
3.0,67.4,67.9,38.0,Average
6.0,83.9,79.7,63.6,Good
3.6,78.3,52.0,50.7,Average
3.4,63.4,63.0,36.6,Poor
0.4,93.9,87.5,34.1,Poor
7.3,89.9,62.1,71.2,Good
6.0,82.9,55.0,60.1,Average
0.6,92.5,64.6,30.4,Poor
3.3,93.4,88.0,52.0,Average
10.9,85.4,53.5,98.4,Excellent
2.9,91.9,42.2,42.6,Average
1.7,84.9,79.8,35.0,Poor
5.9,84.0,87.8,64.0,Good
11.8,80.9,37.0,92.9,Excellent
2.9,87.6,46.8,34.3,Poor
8.1,57.9,39.9,85.0,Good
9.1,94.0,54.4,90.5,Excellent
2.9,93.6,61.5,34.9,Average
8.7,51.5,82.4,76.2,Good
4.4,91.3,75.6,57.5,Average
7.6,56.4,73.5,76.2,Good
7.6,66.8,54.7,73.6,Good
6.4,87.2,88.9,70.2,Good
1.1,58.0,63.0,25.4,Poor
10.0,90.9,98.5,100.0,Excellent
3.8,91.6,74.4,51.4,Average
2.2,75.4,38.8,19.9,Poor
0.5,50.3,77.3,22.8,Poor
7.1,64.4,52.8,62.4,Good
8.1,80.8,78.0,81.5,Excellent
0.2,99.1,34.9,33.2,Poor
6.1,81.6,42.2,61.5,Average
2.7,63.0,89.9,41.7,Average
7.7,81.7,45.9,76.2,Good
2.1,77.0,88.6,42.5,Average
8.3,89.0,49.5,78.9,Good
4.6,55.3,75.0,56.1,Average
11.2,88.1,78.6,100.0,Excellent
1.7,77.1,65.9,26.8,Poor
4.1,98.1,51.4,51.1,Average
1.4,67.1,44.9,20.6,Poor
11.1,81.6,32.3,95.1,Excellent
10.5,96.6,51.3,89.0,Excellent
3.1,55.1,75.7,40.2,Average
7.9,96.9,95.7,82.8,Excellent
9.8,84.4,91.0,100.0,Excellent
6.7,53.4,83.6,73.3,Good
6.4,65.0,85.2,61.8,Good
2.9,85.4,76.5,44.4,Average
1.1,53.4,48.2,19.3,Poor
10.8,79.1,93.5,95.7,Excellent
10.8,67.3,77.0,96.7,Excellent
7.6,81.0,69.2,73.6,Good
4.1,52.3,37.8,53.4,Average
4.2,93.6,61.3,53.1,Average
8.7,98.7,62.2,76.4,Good
10.8,98.4,90.5,100.0,Excellent
10.6,87.5,68.3,100.0,Excellent
9.4,56.5,56.6,92.9,Excellent
7.7,87.9,98.4,74.5,Excellent
1.0,51.2,37.8,10.3,Poor
1.9,51.1,59.6,40.0,Poor
10.8,66.2,32.9,90.6,Excellent
7.3,74.4,81.8,70.4,Good
0.1,88.5,94.3,31.2,Poor
1.2,84.2,49.6,13.7,Poor
8.0,72.3,90.1,81.0,Excellent
0.1,63.7,50.5,18.5,Poor
1.9,99.9,93.8,46.9,Average
6.6,71.3,82.8,64.7,Good
8.3,72.6,86.3,83.1,Excellent
7.8,58.2,31.3,62.2,Good
2.7,89.7,97.4,48.6,Average
8.5,84.7,80.9,80.0,Excellent
2.8,61.0,51.3,34.3,Poor
3.9,54.1,88.1,45.4,Average
9.0,84.0,49.7,84.3,Excellent
7.8,82.7,91.1,85.4,Excellent
10.2,63.7,37.9,84.1,Excellent
7.9,97.5,79.3,81.0,Excellent
6.8,57.6,67.8,59.8,Good
1.1,71.6,36.8,20.9,Poor
4.4,97.2,46.9,49.7,Average
3.2,71.0,30.9,48.7,Poor
2.9,81.9,62.8,35.7,Poor
11.7,69.9,51.1,100.0,Excellent
4.7,63.7,71.9,58.8,Average
10.7,99.2,50.8,96.4,Excellent
7.6,70.5,51.0,79.1,Good
9.5,94.7,82.0,94.5,Excellent
6.0,61.5,33.4,57.0,Average
6.9,60.7,93.2,72.9,Good
5.9,51.6,89.7,70.6,Good
2.3,82.6,76.7,45.5,Average
8.7,68.4,71.5,78.7,Good
3.4,93.2,92.5,44.8,Average
0.3,73.7,43.0,17.0,Poor
7.7,98.4,35.5,67.2,Good
2.1,59.3,46.8,29.8,Poor
11.3,93.4,85.6,100.0,Excellent
11.4,88.8,32.4,93.2,Excellent
11.0,88.5,70.8,99.6,Excellent
4.4,92.2,99.7,60.5,Good
0.2,88.1,89.9,32.3,Poor
11.1,81.3,66.5,88.2,Excellent
5.1,56.6,34.5,45.5,Average
11.6,51.6,88.2,100.0,Excellent
11.6,96.0,71.9,100.0,Excellent
10.2,80.8,38.0,84.9,Excellent
3.5,89.8,36.6,31.6,Poor
4.6,74.1,93.7,61.6,Good
10.2,55.9,76.8,89.3,Excellent
3.8,56.3,88.1,43.9,Average
2.0,84.3,91.5,37.8,Average
6.7,71.5,70.0,67.0,Good
11.2,60.0,66.2,94.9,Excellent
8.4,74.6,60.1,66.9,Good
6.8,53.2,52.2,68.1,Good
1.2,79.1,60.4,34.5,Poor
7.4,63.4,84.2,78.1,Good
11.9,89.9,72.1,100.0,Excellent
1.7,65.5,92.5,35.8,Poor
6.2,72.8,61.0,63.0,Good
10.5,50.6,72.5,96.3,Excellent
8.9,53.6,74.2,85.8,Excellent
8.4,69.6,71.4,76.1,Good
8.4,74.0,79.2,82.7,Excellent
4.3,80.0,46.6,49.8,Average
3.5,64.6,65.9,51.6,Average
9.7,84.7,37.3,87.4,Excellent
9.7,93.0,56.9,92.7,Excellent
10.4,89.0,64.1,95.0,Excellent
11.0,52.0,75.7,100.0,Excellent
6.1,74.0,96.5,71.7,Good
6.0,55.2,72.0,57.8,Average
9.6,62.1,82.1,96.7,Excellent
7.8,99.3,65.4,81.1,Good
8.4,57.1,74.4,77.3,Good
9.5,74.9,35.0,78.9,Good
10.7,80.9,47.8,93.9,Excellent
4.1,85.1,55.3,50.3,Average
4.5,78.0,63.1,52.9,Average
1.1,50.5,33.2,21.1,Poor
6.9,66.3,39.8,71.7,Good
0.4,75.9,49.4,25.8,Poor
5.6,54.4,98.0,65.1,Good
6.5,67.5,53.2,67.7,Good
3.4,51.7,63.7,36.8,Poor
7.1,53.9,43.7,65.8,Good
0.4,69.8,72.8,33.1,Poor
0.4,56.6,49.6,17.6,Poor
9.9,78.4,44.5,81.6,Excellent
4.3,84.5,66.2,48.7,Average
1.5,90.0,30.4,20.3,Poor
6.3,60.0,30.5,52.1,Average
9.2,58.4,45.3,77.7,Good
2.6,55.2,32.6,23.1,Poor
7.5,81.8,37.6,68.1,Good
1.0,85.3,53.7,31.0,Poor
0.6,51.6,86.2,22.2,Poor
6.4,96.8,70.0,75.9,Good
6.5,52.6,65.9,66.4,Good
7.6,77.1,50.5,76.5,Good
8.7,85.5,95.2,85.3,Excellent
11.7,93.5,57.8,100.0,Excellent
6.2,85.7,36.1,53.7,Average
3.9,90.1,73.2,55.2,Average
9.5,67.0,38.0,81.9,Good
3.2,90.7,54.2,45.4,Average
5.3,54.0,65.5,49.5,Average
0.9,94.7,91.2,29.8,Poor
0.3,77.4,64.5,25.8,Poor
11.6,90.9,79.2,100.0,Excellent
10.0,72.6,99.5,99.7,Excellent
8.4,82.2,39.2,67.7,Good
4.9,76.3,49.2,56.1,Average
2.1,86.6,57.6,28.6,Poor
1.9,54.1,59.5,33.2,Poor
3.0,53.0,58.8,41.2,Poor
6.6,62.4,93.5,67.6,Good
8.6,58.0,80.0,84.7,Excellent
7.9,93.6,72.6,80.6,Good
3.4,61.0,51.7,37.2,Poor
11.5,98.8,87.7,100.0,Excellent
8.9,66.8,96.9,78.2,Excellent
6.7,59.1,87.5,71.7,Good
7.3,89.5,30.1,58.5,Good
5.0,82.9,74.5,58.9,Average
3.0,74.9,33.6,33.7,Poor
4.3,77.8,48.0,50.7,Average
9.1,86.0,34.2,77.6,Good
0.2,61.4,72.3,20.2,Poor
1.4,99.8,78.1,39.0,Average
0.6,98.7,38.0,23.0,Poor
0.5,82.5,56.9,24.6,Poor
10.3,60.0,61.9,92.6,Excellent
8.4,84.0,55.8,71.0,Good
5.7,53.6,38.5,56.7,Average
1.2,51.5,59.3,28.3,Poor
5.9,62.9,82.6,59.0,Good
5.7,73.1,35.0,52.9,Average
2.1,93.4,35.6,30.8,Poor
5.2,86.4,54.8,55.4,Average
4.8,87.1,95.9,63.0,Good
7.4,71.3,76.8,81.4,Good
7.6,67.3,77.5,81.0,Good
0.5,68.6,55.3,15.2,Poor
4.5,99.4,71.6,58.8,Average
7.5,52.0,30.7,70.6,Good
6.0,93.4,74.5,68.4,Good
10.3,78.9,93.9,100.0,Excellent
7.9,71.9,72.9,87.2,Good
2.0,86.3,91.2,45.7,Average
0.8,74.3,80.7,30.7,Poor
7.7,93.7,38.4,76.2,Good
0.3,95.0,93.2,31.1,Poor
7.0,71.1,34.7,63.4,Average
11.3,63.8,67.4,97.1,Excellent
6.9,79.6,39.9,72.1,Good
4.7,95.6,30.8,44.2,Average
7.7,60.5,59.5,79.7,Good
5.5,81.1,50.7,59.2,Average
6.5,81.6,64.0,59.8,Good
11.3,86.7,70.4,100.0,Excellent
4.6,56.6,33.1,34.2,Poor
11.5,85.8,38.6,100.0,Excellent
10.9,95.5,69.1,100.0,Excellent
2.3,59.0,54.0,30.2,Poor
0.8,61.9,81.0,28.8,Poor
1.2,98.6,75.7,43.2,Average
0.2,59.0,89.2,22.7,Poor
1.1,92.7,78.5,27.6,Poor
8.2,74.6,60.1,84.3,Good
0.9,62.4,77.1,37.5,Poor
3.8,93.5,49.3,46.0,Average
10.1,72.3,51.4,93.5,Excellent
0.3,75.7,85.2,33.3,Poor
9.8,68.0,61.2,83.7,Excellent
3.4,79.6,85.9,46.4,Average
1.4,58.2,87.6,39.4,Poor
8.4,69.6,90.0,91.9,Excellent
7.5,98.5,94.2,84.3,Excellent
10.5,62.9,60.2,87.6,Excellent
8.8,82.8,52.3,90.4,Excellent
9.6,66.3,70.8,85.6,Excellent
3.4,88.7,56.0,42.1,Average
2.1,56.5,72.1,36.7,Poor
9.0,98.5,79.4,96.5,Excellent
9.7,72.7,78.2,95.0,Excellent
11.9,61.8,56.2,100.0,Excellent
5.0,53.7,41.7,50.7,Average
4.5,58.5,60.1,49.3,Average
9.3,76.0,40.0,83.6,Good
4.1,66.9,92.3,41.1,Average
11.2,91.4,54.2,96.7,Excellent
10.3,71.5,40.8,88.6,Excellent
5.1,62.4,31.8,42.9,Average
9.0,80.9,75.2,88.1,Excellent
9.1,85.3,74.6,85.8,Excellent
1.2,58.4,53.8,34.0,Poor
10.8,58.4,35.0,96.5,Excellent
6.1,51.8,58.7,57.0,Average
9.9,86.8,51.8,87.7,Excellent
3.8,83.2,77.4,50.3,Average
10.7,73.7,72.4,94.8,Excellent
4.7,92.2,55.5,54.0,Average
0.1,90.3,45.3,15.2,Poor
10.9,79.3,99.2,98.2,Excellent
1.1,93.4,61.8,32.5,Poor
3.8,60.3,78.2,51.6,Average
11.4,55.6,39.8,89.3,Excellent
11.4,63.5,64.0,100.0,Excellent
6.9,52.9,31.9,56.7,Average
7.6,76.6,65.4,75.1,Good
5.4,96.8,97.5,71.0,Good
3.5,52.0,56.9,41.0,Poor
3.9,56.1,32.7,42.0,Poor
8.1,72.6,32.2,67.6,Good
9.0,96.7,57.2,83.3,Excellent
9.5,65.8,41.2,80.3,Good
9.5,75.4,31.6,76.5,Good
1.1,52.1,82.9,28.6,Poor
5.9,57.4,62.1,51.9,Average
0.7,99.3,50.2,22.4,Poor
6.6,98.3,93.0,73.2,Good
5.3,50.2,38.1,48.5,Average
10.7,97.6,96.9,100.0,Excellent
4.2,82.0,52.0,47.8,Average
1.4,93.4,92.2,40.0,Average
1.7,72.7,72.2,38.1,Poor
9.1,75.8,87.9,85.9,Excellent
7.4,74.4,98.9,73.1,Good
1.2,83.3,50.2,21.7,Poor
1.0,57.0,97.3,29.8,Poor
8.4,51.5,57.3,73.7,Good
0.9,65.4,57.0,20.2,Poor
9.9,85.2,53.8,81.8,Excellent
8.5,60.1,67.9,76.6,Good
1.0,83.7,40.8,24.3,Poor
1.0,98.5,68.8,33.7,Poor
11.8,54.7,67.9,99.1,Excellent
4.5,83.6,83.3,54.4,Average
4.4,72.2,88.4,51.4,Average
9.8,93.4,60.8,89.6,Excellent
11.4,58.9,51.2,91.4,Excellent
11.8,84.6,48.2,100.0,Excellent
9.0,91.9,43.6,72.3,Good
4.5,97.2,34.0,46.3,Average
1.0,84.2,54.0,27.7,Poor
9.3,74.9,48.9,83.5,Excellent
6.7,80.9,97.6,88.0,Excellent
5.1,93.4,69.0,60.5,Average
10.9,78.5,54.3,89.8,Excellent
1.3,51.5,70.6,28.1,Poor
5.9,96.5,39.7,50.1,Average
0.1,84.5,61.1,21.2,Poor
5.6,83.8,73.8,58.4,Good
0.7,60.8,64.2,28.2,Poor
1.4,82.9,58.1,27.2,Poor
1.4,69.7,99.6,36.2,Poor
7.8,82.6,91.6,77.9,Excellent
9.0,55.3,73.6,91.6,Excellent
7.0,82.9,69.9,69.7,Good
11.5,100.0,73.4,100.0,Excellent
4.5,52.4,44.1,49.6,Average
3.4,98.9,57.7,47.8,Average
10.4,70.3,32.8,88.4,Excellent
2.7,93.5,63.3,42.8,Average
11.6,89.1,68.0,93.8,Excellent
0.1,78.4,45.9,16.7,Poor
11.6,86.9,97.5,100.0,Excellent
0.5,93.9,93.7,31.5,Poor
10.7,70.2,80.6,91.0,Excellent
6.3,66.4,67.3,64.2,Good
11.9,83.4,90.9,100.0,Excellent
0.9,90.4,39.1,29.3,Poor
6.6,88.1,85.3,72.1,Good
11.6,89.9,38.7,100.0,Excellent
6.3,71.8,85.6,66.4,Good
7.6,90.9,49.3,63.3,Good
8.3,56.0,91.4,77.7,Good
5.5,77.2,96.1,72.9,Good
7.5,50.3,40.4,64.5,Good
7.0,66.2,62.4,67.0,Good
10.8,68.3,98.7,100.0,Excellent
0.5,69.8,63.8,33.1,Poor
3.4,84.8,90.4,58.3,Average
11.4,69.4,71.2,100.0,Excellent
10.7,72.4,56.3,92.5,Excellent
5.5,61.9,50.0,55.9,Average
7.4,68.7,44.2,60.2,Good
3.3,61.4,83.3,53.5,Average
2.3,53.7,57.1,26.7,Poor
5.6,80.2,65.8,61.2,Average
4.2,83.4,64.5,45.4,Average
7.0,81.0,70.4,68.3,Good
0.9,73.2,90.6,27.8,Poor
11.7,69.0,98.7,100.0,Excellent
11.8,93.2,58.5,100.0,Excellent
8.4,76.0,87.9,81.1,Excellent
6.4,74.0,83.5,73.3,Good
3.7,51.3,70.1,39.6,Average
9.8,67.1,96.9,95.6,Excellent
8.2,69.0,44.0,79.3,Good
2.0,69.9,37.6,25.6,Poor
10.9,79.0,89.8,98.8,Excellent
9.9,76.7,60.7,87.8,Excellent
11.4,80.4,89.3,100.0,Excellent
8.7,88.2,92.5,89.3,Excellent
7.4,90.6,34.4,64.8,Good
5.0,85.9,91.8,64.5,Good
11.2,97.8,61.4,94.9,Excellent
10.4,50.9,65.7,94.4,Excellent
0.5,59.8,73.9,26.6,Poor
0.3,50.4,94.8,24.7,Poor
4.5,82.4,31.3,41.9,Average
9.7,94.9,63.4,85.8,Excellent
11.8,62.2,78.1,100.0,Excellent
1.8,96.4,80.6,44.5,Average
7.1,53.0,78.5,67.7,Good
4.6,96.7,39.4,51.8,Average
11.6,67.6,51.0,88.0,Excellent
10.1,55.1,55.1,84.3,Excellent
10.1,74.3,86.3,95.0,Excellent
5.6,62.8,49.5,51.0,Average
5.0,64.2,44.7,45.5,Average
3.3,65.4,97.0,45.6,Average
0.7,90.2,30.6,21.3,Poor
10.4,77.0,99.8,99.4,Excellent
9.8,65.6,77.4,79.1,Excellent
12.0,80.5,88.0,99.0,Excellent
12.0,85.8,50.6,99.4,Excellent
6.7,63.6,31.0,61.5,Average
9.2,70.7,81.7,74.3,Excellent
11.3,56.1,88.4,100.0,Excellent
10.2,59.1,81.8,91.0,Excellent
3.0,84.1,40.0,44.1,Poor
5.4,59.1,82.7,58.4,Average
1.5,76.3,83.8,37.2,Poor
11.4,85.5,76.1,100.0,Excellent
7.3,55.3,83.6,62.5,Good
2.7,78.4,89.2,48.7,Average
8.1,62.8,73.0,78.4,Good
7.4,98.1,36.2,71.5,Good
4.3,74.2,64.1,70.0,Average
1.4,90.3,35.4,15.2,Poor
8.1,77.5,58.5,84.5,Good
6.2,52.2,58.5,59.2,Average
9.3,81.7,34.6,81.4,Good
6.2,97.6,54.4,64.1,Good
10.2,80.1,37.8,85.0,Excellent
6.6,91.0,86.6,69.9,Good
6.7,94.2,96.3,77.5,Good
10.5,61.4,35.1,79.2,Good
4.8,60.6,96.9,63.1,Good
1.6,80.5,66.6,30.5,Poor
0.3,70.6,51.0,14.0,Poor
9.1,92.0,35.4,77.5,Good
7.4,95.0,65.0,80.9,Good
8.4,67.7,85.6,80.4,Excellent
2.6,61.8,79.5,41.8,Average
1.6,89.0,33.5,23.4,Poor
0.2,63.7,35.1,18.4,Poor
4.2,91.1,58.2,53.6,Average
7.1,71.2,50.7,76.0,Good
4.7,83.4,46.3,49.7,Average
5.2,54.8,49.7,55.5,Average
10.8,81.2,86.2,100.0,Excellent
4.2,72.6,95.0,62.0,Average
6.2,79.3,58.4,59.2,Good
9.4,58.4,93.4,94.1,Excellent
4.8,86.8,52.5,51.5,Average
7.5,93.1,63.4,73.9,Good
10.3,60.8,45.8,88.1,Excellent
11.4,54.8,74.8,100.0,Excellent
1.8,51.2,98.5,36.6,Poor
11.1,82.1,72.2,100.0,Excellent
5.9,80.4,55.0,68.3,Good
3.1,77.3,75.3,49.4,Average
5.5,61.6,38.6,56.8,Average
11.8,69.5,92.2,100.0,Excellent
5.9,79.7,65.2,57.9,Average
3.9,74.8,61.5,52.2,Average
7.6,99.4,71.0,81.7,Good
2.9,56.8,73.7,48.0,Average
0.9,84.8,35.0,18.8,Poor
1.5,70.2,77.8,32.3,Poor
1.5,71.4,46.9,19.1,Poor
1.8,85.9,80.0,35.4,Poor
1.7,84.6,87.6,42.6,Average
7.7,99.6,86.3,78.7,Excellent
2.2,56.4,68.7,37.9,Poor
4.1,55.2,66.4,46.9,Average
10.8,86.2,40.0,93.6,Excellent
5.7,78.9,84.3,58.8,Good
8.0,63.7,49.0,72.7,Good
2.1,54.0,64.8,17.9,Poor
2.3,54.3,49.9,30.6,Poor
0.5,94.7,39.4,12.6,Poor
2.0,59.6,74.1,41.0,Poor
3.3,66.2,33.8,40.7,Poor
2.1,61.3,82.4,39.8,Poor
1.1,67.7,52.2,32.3,Poor
1.4,53.5,30.0,16.7,Poor
5.5,76.0,65.8,68.2,Good
2.5,53.4,33.3,34.0,Poor
4.4,90.0,49.3,48.3,Average
6.0,61.7,79.5,70.0,Good
8.3,77.0,34.4,67.0,Good
0.5,94.0,88.8,26.3,Poor
9.6,82.5,30.3,78.4,Good
7.5,76.6,47.3,67.2,Good
1.0,66.2,81.9,24.6,Poor
10.5,66.7,52.1,96.6,Excellent
11.1,83.5,37.1,91.8,Excellent
0.7,99.7,55.2,27.9,Poor
3.3,83.1,48.9,38.5,Average
9.7,77.9,89.0,84.2,Excellent
9.0,86.5,51.9,83.2,Excellent
2.2,73.3,85.2,30.3,Poor
2.5,53.0,92.4,41.0,Average
4.4,78.1,60.4,44.2,Average
5.8,97.9,93.7,79.2,Good
7.4,58.8,56.4,73.6,Good
4.4,84.5,97.5,59.5,Good
5.6,60.0,36.3,58.4,Average
9.0,76.8,78.1,81.9,Excellent
0.4,54.8,64.6,24.2,Poor
3.0,72.5,57.1,40.9,Average
8.6,87.8,74.3,84.9,Excellent
10.7,67.4,79.3,100.0,Excellent
6.1,83.2,30.3,61.0,Average
6.4,89.8,41.7,63.5,Good
1.3,96.4,79.9,26.3,Poor
5.4,61.7,76.6,54.3,Average
6.4,70.0,97.6,70.6,Good
2.9,57.6,83.3,43.3,Average
3.2,99.6,96.6,46.2,Average
4.5,96.4,79.2,69.2,Good
0.2,77.0,50.9,27.1,Poor
3.9,92.1,37.4,46.8,Average
2.5,76.0,84.7,42.7,Average
3.9,81.2,75.1,49.6,Average
1.4,54.5,33.4,17.4,Poor
10.7,87.8,55.2,95.0,Excellent
7.1,56.4,97.0,76.2,Good
8.1,91.3,65.0,73.0,Good
9.5,89.1,60.3,88.9,Excellent
6.0,85.4,62.0,62.0,Good
1.0,51.8,44.6,11.9,Poor
6.4,65.2,55.8,58.5,Average
7.0,63.2,55.9,64.7,Good
8.9,68.0,33.7,85.6,Good
5.2,54.4,83.7,61.2,Average
1.5,96.8,59.2,25.6,Poor
3.4,77.7,87.6,51.5,Average
4.4,65.3,89.5,47.2,Average
7.8,69.8,44.8,75.6,Good
6.8,72.4,76.0,68.0,Good
4.3,80.0,63.1,50.1,Average
11.8,75.8,91.6,100.0,Excellent
7.3,96.0,45.1,63.1,Good
2.8,74.8,77.4,35.9,Average
1.2,99.6,72.5,30.1,Poor
1.8,92.6,50.7,37.4,Poor
3.0,60.4,39.6,27.0,Poor
1.9,96.5,75.6,24.1,Poor
2.2,55.8,81.7,35.3,Poor
3.4,90.9,52.1,46.2,Average
2.1,69.0,75.1,42.5,Average
10.8,93.9,57.7,93.9,Excellent
1.0,93.4,79.9,30.0,Poor
6.3,90.3,43.9,67.6,Good
4.9,89.5,92.3,52.5,Average
11.8,65.2,50.1,97.1,Excellent
1.3,54.0,55.7,26.9,Poor
4.8,70.1,34.1,49.5,Average
11.6,58.7,37.8,92.3,Excellent
10.4,84.7,66.1,94.6,Excellent
9.8,67.3,48.7,72.7,Good
3.1,98.8,88.5,45.9,Average
2.1,82.0,31.0,31.0,Poor
8.0,91.1,56.5,71.7,Good
11.2,56.6,53.6,94.7,Excellent
6.7,93.1,31.4,64.6,Good
6.9,96.1,38.7,63.7,Good
3.4,74.4,59.0,43.6,Average
9.2,80.3,64.5,80.8,Excellent
2.2,88.2,58.3,35.2,Poor
3.9,58.7,67.2,49.5,Average
5.1,75.1,71.7,58.4,Average
6.1,69.9,30.7,52.8,Average
2.9,57.3,62.5,39.7,Poor
1.4,68.4,97.4,39.5,Poor
7.3,53.4,66.3,59.6,Good
3.5,51.3,77.4,50.7,Average
7.0,56.8,51.8,63.2,Good
1.9,98.2,84.2,41.7,Average
5.8,77.5,84.1,71.0,Good
6.4,98.3,66.5,61.0,Good
0.6,71.6,98.3,27.6,Poor
4.0,65.6,38.8,41.1,Average
1.6,75.3,31.2,21.1,Poor
